pubchem_molecule_id,pubchem_molecule_type,InChI,activity
7791,compounds,"InChI=1S/C16H35N/c1-5-9-11-15(7-3)13-17-14-16(8-4)12-10-6-2/h15-17H,5-14H2,1-4H3",inactive
7792,compounds,"InChI=1S/C10H22O/c1-9(2)5-4-6-10(3)7-8-11/h9-11H,4-8H2,1-3H3",inactive
7793,compounds,"InChI=1S/C10H20O/c1-9(2)5-4-6-10(3)7-8-11/h5,10-11H,4,6-8H2,1-3H3/t10-/m0/s1",inactive
7794,compounds,"InChI=1S/C10H18O/c1-9(2)5-4-6-10(3)7-8-11/h5,8,10H,4,6-7H2,1-3H3",inactive
7795,compounds,"InChI=1S/C9H18O2/c1-4-5-9(10)11-7-6-8(2)3/h8H,4-7H2,1-3H3",inactive
7797,compounds,"InChI=1S/C9H18O2/c1-3-5-6-7-8-9(10)11-4-2/h3-8H2,1-2H3",inactive
7798,compounds,"InChI=1S/C8H14O3/c1-3-5-7(9)11-8(10)6-4-2/h3-6H2,1-2H3",inactive
7799,compounds,"InChI=1S/C10H20O2/c1-3-5-6-7-8-9-10(11)12-4-2/h3-9H2,1-2H3",inactive
7800,compounds,"InChI=1S/C14H28O2/c1-3-5-6-7-8-9-10-11-12-13-14(15)16-4-2/h3-13H2,1-2H3",inactive
7803,compounds,"InChI=1S/C6H12O2/c1-3-5-8-6(7)4-2/h3-5H2,1-2H3",inactive
7804,compounds,InChI=1S/C6H4Br2/c7-5-1-2-6(8)4-3-5/h1-4H,inactive
7805,compounds,"InChI=1S/C7H7Br/c1-6-2-4-7(8)5-3-6/h2-5H,1H3",inactive
7807,compounds,"InChI=1S/C6H6BrN/c7-5-1-3-6(8)4-2-5/h1-4H,8H2",inactive
7809,compounds,"InChI=1S/C8H10/c1-7-3-5-8(2)6-4-7/h3-6H,1-2H3",inactive
7810,compounds,"InChI=1S/C7H7Cl/c1-6-2-4-7(8)5-3-6/h2-5H,1H3",inactive
7811,compounds,"InChI=1S/C7H8S/c1-6-2-4-7(8)5-3-6/h2-5,8H,1H3",inactive
7813,compounds,"InChI=1S/C7H9N/c1-6-2-4-7(8)5-3-6/h2-5H,8H2,1H3",inactive
7814,compounds,"InChI=1S/C6H8N2/c7-5-1-2-6(8)4-3-5/h1-4H,7-8H2",inactive
7818,compounds,"InChI=1S/C6H14N2/c1-7-3-5-8(2)6-4-7/h3-6H2,1-2H3",inactive
7819,compounds,"InChI=1S/C7H12O2/c1-4-7(8)9-5-6(2)3/h4,6H,1,5H2,2-3H3",inactive
7820,compounds,"InChI=1S/C6H10O4/c1-9-5(7)3-4-6(8)10-2/h3-4H2,1-2H3",inactive
7822,compounds,"InChI=1S/C8H16O/c1-4-7(3)6-8(9)5-2/h7H,4-6H2,1-3H3",inactive
7823,compounds,"InChI=1S/C6H14O3/c7-4-2-1-3-6(9)5-8/h6-9H,1-5H2",inactive
7825,compounds,"InChI=1S/C6H7NO2/c1-2-6(8)9-5-3-4-7/h2H,1,3,5H2",inactive
7828,compounds,InChI=1S/C6H8Cl2O5/c7-5(9)12-3-1-11-2-4-13-6(8)10/h1-4H2,inactive
7829,compounds,"InChI=1S/C12H22O4/c1-15-11(13)9-7-5-3-4-6-8-10-12(14)16-2/h3-10H2,1-2H3",inactive
7833,compounds,"InChI=1S/C8H12O2/c1-2-6-7(10-6)3-5(1)8-4-9-8/h5-8H,1-4H2",inactive
7834,compounds,"InChI=1S/C4H8O/c1-2-4-3-5-4/h4H,2-3H2,1H3",inactive
7835,compounds,"InChI=1S/C3H5ClO/c4-1-3-2-5-3/h3H,1-2H2",inactive
7837,compounds,"InChI=1S/C7H10O3/c1-5(2)7(8)10-4-6-3-9-6/h6H,1,3-4H2,2H3",inactive
7838,compounds,"InChI=1S/C6H10O2/c1-2-3-7-4-6-5-8-6/h2,6H,1,3-5H2",inactive
7839,compounds,InChI=1S/C2H4Br2/c3-1-2-4/h1-2H2,inactive
7840,compounds,"InChI=1S/C3H7Br/c1-2-3-4/h2-3H2,1H3",inactive
7841,compounds,"InChI=1S/C3H5Br/c1-2-3-4/h2H,1,3H2",inactive
7847,compounds,"InChI=1S/C3H4O/c1-2-3-4/h2-3H,1H2",inactive
7849,compounds,InChI=1S/C2H4BrCl/c3-1-2-4/h1-2H2,inactive
7850,compounds,"InChI=1S/C3H5Cl/c1-2-3-4/h2H,1,3H2",inactive
7854,compounds,"InChI=1S/C3H5N/c1-2-3-4/h2H2,1H3",inactive
7855,compounds,"InChI=1S/C3H3N/c1-2-3-4/h2H,1H2",inactive
7856,compounds,InChI=1S/C2H2ClN/c3-1-2-4/h1H2,inactive
7858,compounds,"InChI=1S/C3H6O/c1-2-3-4/h2,4H,1,3H2",inactive
7859,compounds,"InChI=1S/C3H4O/c1-2-3-4/h1,4H,3H2",inactive
7860,compounds,InChI=1S/C2H2O2/c3-1-2-4/h1-2H,inactive
7864,compounds,"InChI=1S/C2H5ClO/c1-4-2-3/h2H2,1H3",inactive
7865,compounds,"InChI=1S/C2H4O2/c1-4-2-3/h2H,1H3",inactive
7868,compounds,"InChI=1S/C8H16/c1-7(2)6-8(3,4)5/h1,6H2,2-5H3",inactive
7869,compounds,"InChI=1S/C8H16/c1-7(2)6-8(3,4)5/h6H,1-5H3",inactive
7870,compounds,"InChI=1S/C6H14O2/c1-5(7)4-6(2,3)8/h5,7-8H,4H2,1-3H3",inactive
7873,compounds,"InChI=1S/C8H20O7P2/c1-5-11-16(9,12-6-2)15-17(10,13-7-3)14-8-4/h5-8H2,1-4H3",inactive
7877,compounds,"InChI=1S/C7H13NO/c1-5-6(9)8-7(2,3)4/h5H,1H2,2-4H3,(H,8,9)",inactive
7881,compounds,"InChI=1S/C8H19O4P/c1-3-5-7-11-13(9,10)12-8-6-4-2/h3-8H2,1-2H3,(H,9,10)",inactive
7884,compounds,"InChI=1S/C7H14O2/c1-6(8)5-7(2,3)9-4/h5H2,1-4H3",inactive
7888,compounds,"InChI=1S/C10H20O2/c1-9(6-8-11)5-4-7-10(2,3)12/h8-9,12H,4-7H2,1-3H3",inactive
7892,compounds,"InChI=1S/C6H14/c1-4-5-6(2)3/h6H,4-5H2,1-3H3",inactive
7895,compounds,"InChI=1S/C5H10O/c1-3-4-5(2)6/h3-4H2,1-2H3",inactive
7896,compounds,"InChI=1S/C4H10O2/c1-4(6)2-3-5/h4-6H,2-3H2,1H3",inactive
7899,compounds,"InChI=1S/C3H5ClO2/c4-2-1-3(5)6/h1-2H2,(H,5,6)",inactive
7900,compounds,"InChI=1S/C4H10O2/c1-4(5)3-6-2/h4-5H,3H2,1-2H3",inactive
7902,compounds,"InChI=1S/C4H11NO/c1-5(2)3-4-6/h6H,3-4H2,1-2H3",inactive
7903,compounds,"InChI=1S/C3H7NO2/c1-2-3-4(5)6/h2-3H2,1H3",inactive
7904,compounds,"InChI=1S/C4H6O2/c1-3-6-4(2)5/h3H,1H2,2H3",inactive
7908,compounds,"InChI=1S/C6H15N/c1-5(2)4-6(3)7/h5-6H,4,7H2,1-3H3",inactive
7909,compounds,"InChI=1S/C6H12O/c1-5(2)4-6(3)7/h5H,4H2,1-3H3",inactive
7910,compounds,"InChI=1S/C6H14O/c1-5(2)4-6(3)7/h5-7H,4H2,1-3H3",inactive
7912,compounds,"InChI=1S/C6H15N/c1-5(2)7-6(3)4/h5-7H,1-4H3",inactive
7913,compounds,"InChI=1S/C2H5N3O2/c3-1(6)5-2(4)7/h(H5,3,4,5,6,7)",inactive
7914,compounds,"InChI=1S/C6H14O/c1-5(2)7-6(3)4/h5-6H,1-4H3",inactive
7915,compounds,"InChI=1S/C5H10O2/c1-4(2)7-5(3)6/h4H,1-3H3",inactive
7916,compounds,"InChI=1S/C5H8O2/c1-4(2)7-5(3)6/h1H2,2-3H3",inactive
7918,compounds,InChI=1S/C4H6O3/c1-3(5)7-4(2)6/h1-2H3,inactive
7921,compounds,"InChI=1S/C5H8O2/c1-4-2-3-5(6)7-4/h4H,2-3H2,1H3",inactive
7922,compounds,InChI=1S/C4H4O3/c5-3-1-2-4(6)7-3/h1-2H2,inactive
7923,compounds,InChI=1S/C4H2O3/c5-3-1-2-4(6)7-3/h1-2H,inactive
7924,compounds,"InChI=1S/C4H6O3/c1-3-2-6-4(5)7-3/h3H,2H2,1H3",inactive
7929,compounds,"InChI=1S/C8H10/c1-7-4-3-5-8(2)6-7/h3-6H,1-2H3",inactive
7931,compounds,"InChI=1S/C7H7Cl/c1-6-3-2-4-7(8)5-6/h2-5H,1H3",inactive
7932,compounds,"InChI=1S/C6H6ClN/c7-5-2-1-3-6(8)4-5/h1-4H,8H2",inactive
7933,compounds,"InChI=1S/C6H5ClO/c7-5-2-1-3-6(8)4-5/h1-4,8H",inactive
7934,compounds,"InChI=1S/C7H9N/c1-6-3-2-4-7(8)5-6/h2-5H,8H2,1H3",inactive
7935,compounds,"InChI=1S/C6H8N2/c7-5-2-1-3-6(8)4-5/h1-4H,7-8H2",inactive
7937,compounds,"InChI=1S/C7H9N/c1-6-4-3-5-7(2)8-6/h3-5H,1-2H3",inactive
7940,compounds,InChI=1S/C5H6O3/c6-4-2-1-3-5(7)8-4/h1-3H2,inactive
7943,compounds,"InChI=1S/C5H8O4/c1-8-4(6)3-5(7)9-2/h3H2,1-2H3",inactive
7944,compounds,"InChI=1S/C6H12Cl2O/c1-5(3-7)9-6(2)4-8/h5-6H,3-4H2,1-2H3",inactive
7945,compounds,"InChI=1S/C7H14O2/c1-4-9-7(8)5-6(2)3/h6H,4-5H2,1-3H3",inactive
7946,compounds,"InChI=1S/C6H12O3/c1-5(4-8-3)9-6(2)7/h5H,4H2,1-3H3",inactive
7947,compounds,"InChI=1S/C9H12/c1-7-4-8(2)6-9(3)5-7/h4-6H,1-3H3",inactive
7948,compounds,"InChI=1S/C8H10O/c1-6-3-7(2)5-8(9)4-6/h3-5,9H,1-2H3",inactive
7949,compounds,"InChI=1S/C8H11N/c1-6-3-7(2)5-8(9)4-6/h3-5H,9H2,1-2H3",inactive
7950,compounds,InChI=1S/C6H3Cl3/c7-4-1-5(8)3-6(9)2-4/h1-3H,inactive
7952,compounds,"InChI=1S/C6H15N3/c1-7-4-8(2)6-9(3)5-7/h4-6H2,1-3H3",inactive
7954,compounds,InChI=1S/C3Cl3N3/c4-1-7-2(5)9-3(6)8-1,inactive
7955,compounds,"InChI=1S/C3H6N6/c4-1-7-2(5)9-3(6)8-1/h(H6,4,5,6,7,8,9)",inactive
7956,compounds,"InChI=1S/C3H3N3O3/c7-1-4-2(8)6-3(9)5-1/h(H3,4,5,6,7,8,9)",inactive
7957,compounds,"InChI=1S/C9H20O/c1-7(2)5-9(10)6-8(3)4/h7-10H,5-6H2,1-4H3",inactive
7958,compounds,"InChI=1S/C9H18O/c1-7(2)5-9(10)6-8(3)4/h7-8H,5-6H2,1-4H3",inactive
7961,compounds,InChI=1S/C6H5Br/c7-6-4-2-1-3-5-6/h1-5H,inactive
7962,compounds,"InChI=1S/C7H14/c1-7-5-3-2-4-6-7/h7H,2-6H2,1H3",inactive
7963,compounds,"InChI=1S/C6H7N/c1-6-2-4-7-5-3-6/h2-5H,1H3",inactive
7964,compounds,InChI=1S/C6H5Cl/c7-6-4-2-1-3-5-6/h1-5H,inactive
7965,compounds,"InChI=1S/C6H13N/c7-6-4-2-1-3-5-6/h6H,1-5,7H2",inactive
7966,compounds,"InChI=1S/C6H12O/c7-6-4-2-1-3-5-6/h6-7H,1-5H2",inactive
7967,compounds,InChI=1S/C6H10O/c7-6-4-2-1-3-5-6/h1-5H2,inactive
7969,compounds,"InChI=1S/C6H6S/c7-6-4-2-1-3-5-6/h1-5,7H",inactive
7970,compounds,"InChI=1S/C6H7N/c1-6-3-2-4-7-5-6/h2-5H,1H3",inactive
7972,compounds,"InChI=1S/C5H11NO/c1-6-2-4-7-5-3-6/h2-5H2,1H3",inactive
7973,compounds,InChI=1S/C5H4BrN/c6-5-3-1-2-4-7-5/h1-4H,inactive
7975,compounds,"InChI=1S/C6H7N/c1-6-4-2-3-5-7-6/h2-5H,1H3",inactive
7976,compounds,"InChI=1S/C5H6N2/c1-5-4-6-2-3-7-5/h2-4H,1H3",inactive
7977,compounds,InChI=1S/C5H4ClN/c6-5-3-1-2-4-7-5/h1-4H,inactive
7979,compounds,"InChI=1S/C14H22O6/c1-11(2)13(15)19-9-7-17-5-6-18-8-10-20-14(16)12(3)4/h1,3,5-10H2,2,4H3",inactive
7980,compounds,"InChI=1S/C16H26O7/c1-13(2)15(17)22-11-9-20-7-5-19-6-8-21-10-12-23-16(18)14(3)4/h1,3,5-12H2,2,4H3",inactive
7984,compounds,InChI=1S/C16H30O2/c17-16-14-12-10-8-6-4-2-1-3-5-7-9-11-13-15-18-16/h1-15H2,inactive
7985,compounds,"InChI=1S/C21H40O4/c1-3-5-7-14-18-24-20(22)16-12-10-9-11-13-17-21(23)25-19-15-8-6-4-2/h3-19H2,1-2H3",inactive
7986,compounds,"InChI=1S/C18H34O4/c1-3-5-15-21-17(19)13-11-9-7-8-10-12-14-18(20)22-16-6-4-2/h3-16H2,1-2H3",inactive
7991,compounds,"InChI=1S/C5H10O2/c1-2-3-4-5(6)7/h2-4H2,1H3,(H,6,7)",inactive
7992,compounds,"InChI=1S/C6H12O/c1-4-7-5-6(2)3/h4,6H,1,5H2,2-3H3",inactive
7993,compounds,"InChI=1S/C5H14N2/c1-7(2)5-3-4-6/h3-6H2,1-2H3",inactive
7996,compounds,"InChI=1S/C5H12O2/c1-5(2)7-4-3-6/h5-6H,3-4H2,1-2H3",inactive
7997,compounds,"InChI=1S/C5H10O2/c1-3-4-7-5(2)6/h3-4H2,1-2H3",inactive
8001,compounds,InChI=1S/C3H6Br2/c4-2-1-3-5/h1-3H2,inactive
8003,compounds,"InChI=1S/C5H12/c1-3-5-4-2/h3-5H2,1-2H3",inactive
8004,compounds,"InChI=1S/C5H10/c1-3-5-4-2/h3H,1,4-5H2,2H3",inactive
8005,compounds,"InChI=1S/C4H9Cl/c1-2-3-4-5/h2-4H2,1H3",inactive
8007,compounds,"InChI=1S/C4H11N/c1-2-3-4-5/h2-5H2,1H3",inactive
8010,compounds,InChI=1S/C3H2N2/c4-2-1-3-5/h1H2,inactive
8011,compounds,"InChI=1S/C3H5NO/c4-2-1-3-5/h5H,1,3H2",inactive
8012,compounds,"InChI=1S/C4H10S/c1-2-3-4-5/h5H,2-4H2,1H3",inactive
8016,compounds,"InChI=1S/C3H9NO/c1-4-2-3-5/h4-5H,2-3H2,1H3",inactive
8017,compounds,"InChI=1S/C2H8N2O/c3-4-1-2-5/h4-5H,1-3H2",inactive
8019,compounds,"InChI=1S/C3H8O2/c1-5-3-2-4/h4H,2-3H2,1H3",inactive
8021,compounds,"InChI=1S/C4H11N/c1-3-5-4-2/h5H,3-4H2,1-2H3",inactive
8027,compounds,InChI=1S/C4H5N/c1-2-4-5-3-1/h1-5H,inactive
8028,compounds,InChI=1S/C4H8O/c1-2-4-5-3-1/h1-4H2,inactive
8029,compounds,InChI=1S/C4H4O/c1-2-4-5-3-1/h1-4H,inactive
8030,compounds,InChI=1S/C4H4S/c1-2-4-5-3-1/h1-4H,inactive
8031,compounds,"InChI=1S/C8H18O2/c1-7(2,9)5-6-8(3,4)10/h9-10H,5-6H2,1-4H3",inactive
8033,compounds,"InChI=1S/C8H18O2/c1-7(2,3)9-10-8(4,5)6/h1-6H3",inactive
8034,compounds,"InChI=1S/C7H14O/c1-6(2)4-5-7(3)8/h6H,4-5H2,1-3H3",inactive
8035,compounds,"InChI=1S/C6H10O2/c1-5(7)3-4-6(2)8/h3-4H2,1-2H3",inactive
8037,compounds,"InChI=1S/C6H16N2/c1-7(2)5-6-8(3)4/h5-6H2,1-4H3",inactive
8038,compounds,"InChI=1S/C6H12O2/c1-5(2)4-8-6(3)7/h5H,4H2,1-3H3",inactive
8039,compounds,"InChI=1S/C2H6N4O2/c3-1(7)5-6-2(4)8/h(H3,3,5,7)(H3,4,6,8)",inactive
8041,compounds,"InChI=1S/C7H10N2O2/c1-3-6(10)8-5-9-7(11)4-2/h3-4H,1-2,5H2,(H,8,10)(H,9,11)",inactive
8042,compounds,"InChI=1S/C17H34O2/c1-4-5-6-7-8-9-10-11-12-13-14-15-17(18)19-16(2)3/h16H,4-15H2,1-3H3",inactive
8046,compounds,"InChI=1S/C18H34O4/c1-3-5-7-11-15-21-17(19)13-9-10-14-18(20)22-16-12-8-6-4-2/h3-16H2,1-2H3",inactive
8048,compounds,"InChI=1S/C12H24O2/c1-3-5-6-7-8-9-10-11-12(13)14-4-2/h3-11H2,1-2H3",inactive
8049,compounds,"InChI=1S/C14H26O4/c1-3-17-13(15)11-9-7-5-6-8-10-12-14(16)18-4-2/h3-12H2,1-2H3",inactive
8050,compounds,"InChI=1S/C11H22O2/c1-3-4-5-6-7-8-9-10-11(12)13-2/h3-10H2,1-2H3",inactive
8051,compounds,"InChI=1S/C7H14O/c1-3-4-5-6-7(2)8/h3-6H2,1-2H3",inactive
8053,compounds,"InChI=1S/C5H11NO2/c1-5(2)3-4-8-6-7/h5H,3-4H2,1-2H3",inactive
8056,compounds,InChI=1S/C4H8Br2/c5-3-1-2-4-6/h1-4H2,inactive
8057,compounds,"InChI=1S/C5H11Br/c1-2-3-4-5-6/h2-5H2,1H3",inactive
8058,compounds,"InChI=1S/C6H14/c1-3-5-6-4-2/h3-6H2,1-2H3",inactive
8061,compounds,"InChI=1S/C5H9N/c1-2-3-4-5-6/h2-4H2,1H3",inactive
8062,compounds,InChI=1S/C4H4N2/c5-3-1-2-4-6/h1-2H2,inactive
8063,compounds,"InChI=1S/C5H10O/c1-2-3-4-5-6/h5H,2-4H2,1H3",inactive
8064,compounds,"InChI=1S/C4H10O2/c5-3-1-2-4-6/h5-6H,1-4H2",inactive
8066,compounds,"InChI=1S/C4H6O2/c5-3-1-2-4-6/h5-6H,3-4H2",inactive
8071,compounds,"InChI=1S/C4H10O2/c1-5-3-4-6-2/h3-4H2,1-2H3",inactive
8072,compounds,"InChI=1S/C4H11NO/c1-2-5-3-4-6/h5-6H,2-4H2,1H3",inactive
8074,compounds,"InChI=1S/C4H7ClO/c1-2-6-4-3-5/h2H,1,3-4H2",inactive
8076,compounds,"InChI=1S/C4H10O2/c1-2-6-4-3-5/h5H,2-4H2,1H3",inactive
8078,compounds,InChI=1S/C6H12/c1-2-4-6-5-3-1/h1-6H2,inactive
8080,compounds,"InChI=1S/C5H8O/c1-2-4-6-5-3-1/h2,4H,1,3,5H2",inactive
8081,compounds,InChI=1S/C3H6O3/c1-4-2-6-3-5-1/h1-3H2,inactive
8082,compounds,"InChI=1S/C5H11N/c1-2-4-6-5-3-1/h6H,1-5H2",inactive
8083,compounds,"InChI=1S/C4H9NO/c1-3-6-4-2-5-1/h5H,1-4H2",inactive
8084,compounds,"InChI=1S/C7H18N2/c1-8(2)6-5-7-9(3)4/h5-7H2,1-4H3",inactive
8085,compounds,"InChI=1S/C8H19N/c1-7(2)5-9-6-8(3)4/h7-9H,5-6H2,1-4H3",inactive
8086,compounds,"InChI=1S/C6H15NO2/c1-5(8)3-7-4-6(2)9/h5-9H,3-4H2,1-2H3",inactive
8087,compounds,"InChI=1S/C6H14O3/c1-5(7)3-9-4-6(2)8/h5-8H,3-4H2,1-2H3",inactive
8088,compounds,"InChI=1S/C4H6O5/c5-3(6)1-9-2-4(7)8/h1-2H2,(H,5,6)(H,7,8)",inactive
8089,compounds,"InChI=1S/C30H62/c1-25(2)15-11-19-29(7)23-13-21-27(5)17-9-10-18-28(6)22-14-24-30(8)20-12-16-26(3)4/h25-30H,9-24H2,1-8H3",inactive
8091,compounds,"InChI=1S/C9H18O2/c1-3-4-5-6-7-8-9(10)11-2/h3-8H2,1-2H3",inactive
8092,compounds,"InChI=1S/C9H14O2/c1-3-4-5-6-7-8-9(10)11-2/h3-6H2,1-2H3",inactive
8094,compounds,"InChI=1S/C7H14O2/c1-2-3-4-5-6-7(8)9/h2-6H2,1H3,(H,8,9)",inactive
8095,compounds,"InChI=1S/C6H12O3/c1-3-8-4-5-9-6(2)7/h3-5H2,1-2H3",inactive
8096,compounds,"InChI=1S/C6H10O4S/c7-5(8)1-3-11-4-2-6(9)10/h1-4H2,(H,7,8)(H,9,10)",inactive
8097,compounds,"InChI=1S/C10H24N2/c1-11(2)9-7-5-6-8-10-12(3)4/h5-10H2,1-4H3",inactive
8098,compounds,"InChI=1S/C10H18O6/c1-9(11)15-7-5-13-3-4-14-6-8-16-10(2)12/h3-8H2,1-2H3",inactive
8100,compounds,InChI=1S/C5H10Br2/c6-4-2-1-3-5-7/h1-5H2,inactive
8101,compounds,"InChI=1S/C6H13Br/c1-2-3-4-5-6-7/h2-6H2,1H3",inactive
8102,compounds,"InChI=1S/C6H15N/c1-2-3-4-5-6-7/h2-7H2,1H3",inactive
8103,compounds,"InChI=1S/C6H14O/c1-2-3-4-5-6-7/h7H,2-6H2,1H3",inactive
8105,compounds,"InChI=1S/C5H12O2/c6-4-2-1-3-5-7/h6-7H,1-5H2",inactive
8106,compounds,"InChI=1S/C6H14S/c1-2-3-4-5-6-7/h7H,2-6H2,1H3",inactive
8108,compounds,"InChI=1S/C6H12O/c1-3-5-6-7-4-2/h4H,2-3,5-6H2,1H3",inactive
8110,compounds,"InChI=1S/C5H9NO/c1-2-3-4-6-5-7/h2-4H2,1H3",inactive
8111,compounds,"InChI=1S/C4H13N3/c5-1-3-7-4-2-6/h7H,1-6H2",inactive
8112,compounds,"InChI=1S/C4H12N2O/c5-1-2-6-3-4-7/h6-7H,1-5H2",inactive
8113,compounds,"InChI=1S/C4H11NO2/c6-3-1-5-2-4-7/h5-7H,1-4H2",inactive
8114,compounds,"InChI=1S/C6H14O/c1-3-5-7-6-4-2/h3-6H2,1-2H3",inactive
8115,compounds,InChI=1S/C4H8Cl2O/c5-1-3-7-4-2-6/h1-4H2,inactive
8117,compounds,"InChI=1S/C4H10O3/c5-1-3-7-4-2-6/h5-6H,1-4H2",inactive
8119,compounds,"InChI=1S/C6H13N/c1-2-4-6-7-5-3-1/h7H,1-6H2",inactive
8121,compounds,"InChI=1S/C6H10O4/c1-5(7)9-3-4-10-6(2)8/h3-4H2,1-2H3",inactive
8124,compounds,"InChI=1S/C8H15ClO/c1-2-3-4-5-6-7-8(9)10/h2-7H2,1H3",inactive
8125,compounds,"InChI=1S/C8H16/c1-3-5-7-8-6-4-2/h3H,1,4-8H2,2H3",inactive
8127,compounds,"InChI=1S/C7H17N/c1-2-3-4-5-6-7-8/h2-8H2,1H3",inactive
8128,compounds,InChI=1S/C6H8N2/c7-5-3-1-2-4-6-8/h1-4H2,inactive
8129,compounds,"InChI=1S/C7H16O/c1-2-3-4-5-6-7-8/h8H,2-7H2,1H3",inactive
8130,compounds,"InChI=1S/C7H14O/c1-2-3-4-5-6-7-8/h7H,2-6H2,1H3",inactive
8133,compounds,"InChI=1S/C6H14O2/c1-2-3-5-8-6-4-7/h7H,2-6H2,1H3",inactive
8134,compounds,"InChI=1S/C5H12O3/c1-7-4-5-8-3-2-6/h6H,2-5H2,1H3",inactive
8137,compounds,"InChI=1S/C10H16O2/c1-3-4-5-6-7-8-9-10(11)12-2/h3-7H2,1-2H3",inactive
8139,compounds,"InChI=1S/C13H26O2/c1-3-4-5-6-7-8-9-10-11-12-13(14)15-2/h3-12H2,1-2H3",inactive
8140,compounds,"InChI=1S/C8H17Br/c1-2-3-4-5-6-7-8-9/h2-8H2,1H3",inactive
8141,compounds,"InChI=1S/C9H20/c1-3-5-7-9-8-6-4-2/h3-9H2,1-2H3",inactive
8142,compounds,"InChI=1S/C8H17Cl/c1-2-3-4-5-6-7-8-9/h2-8H2,1H3",inactive
8143,compounds,"InChI=1S/C8H19N/c1-2-3-4-5-6-7-8-9/h2-9H2,1H3",inactive
8144,compounds,"InChI=1S/C8H18S/c1-2-3-4-5-6-7-8-9/h9H,2-8H2,1H3",inactive
8146,compounds,"InChI=1S/C6H14O3/c1-2-8-5-6-9-4-3-7/h7H,2-6H2,1H3",inactive
8147,compounds,InChI=1S/C5H10Cl2O2/c6-1-3-8-5-9-4-2-7/h1-5H2,inactive
8148,compounds,"InChI=1S/C8H19N/c1-3-5-7-9-8-6-4-2/h9H,3-8H2,1-2H3",inactive
8149,compounds,"InChI=1S/C6H9N3/c7-3-1-5-9-6-2-4-8/h9H,1-2,5-6H2",inactive
8150,compounds,"InChI=1S/C6H14O3/c1-7-3-5-9-6-4-8-2/h3-6H2,1-2H3",inactive
8151,compounds,"InChI=1S/C6H8N2S/c7-3-1-5-9-6-2-4-8/h1-2,5-6H2",inactive
8154,compounds,"InChI=1S/C19H42N.ClH/c1-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-20(2,3)4;/h5-19H2,1-4H3;1H/q+1;/p-1",inactive
8155,compounds,"InChI=1S/C21H46N.ClH/c1-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-20-21-22(2,3)4;/h5-21H2,1-4H3;1H/q+1;/p-1",inactive
8158,compounds,"InChI=1S/C9H18O2/c1-2-3-4-5-6-7-8-9(10)11/h2-8H2,1H3,(H,10,11)",inactive
8159,compounds,"InChI=1S/C9H18O2/c1-3-4-5-6-7-8-11-9(2)10/h3-8H2,1-2H3",inactive
8160,compounds,"InChI=1S/C8H16O3/c1-3-4-5-10-6-7-11-8(2)9/h3-7H2,1-2H3",inactive
8163,compounds,"InChI=1S/C11H22O/c1-3-4-5-6-7-8-9-10-11(2)12/h3-10H2,1-2H3",inactive
8164,compounds,"InChI=1S/C10H20O2/c1-3-4-5-6-7-8-9-12-10(2)11/h3-9H2,1-2H3",inactive
8165,compounds,"InChI=1S/C8H16O4/c1-3-10-4-5-11-6-7-12-8(2)9/h3-7H2,1-2H3",inactive
8166,compounds,"InChI=1S/C12H23ClO/c1-2-3-4-5-6-7-8-9-10-11-12(13)14/h2-11H2,1H3",inactive
8167,compounds,"InChI=1S/C12H24O2/c1-3-4-5-6-7-8-9-10-11-14-12(2)13/h3-11H2,1-2H3",inactive
8168,compounds,"InChI=1S/C14H31N/c1-4-5-6-7-8-9-10-11-12-13-14-15(2)3/h4-14H2,1-3H3",inactive
8170,compounds,"InChI=1S/C8H18O2/c1-2-3-4-5-7-10-8-6-9/h9H,2-8H2,1H3",inactive
8171,compounds,InChI=1S/C6H12Cl2O2/c7-1-3-9-5-6-10-4-2-8/h1-6H2,inactive
8172,compounds,"InChI=1S/C6H14O4/c7-1-3-9-5-6-10-4-2-8/h7-8H,1-6H2",inactive
8173,compounds,"InChI=1S/C10H21Br/c1-2-3-4-5-6-7-8-9-10-11/h2-10H2,1H3",inactive
8174,compounds,"InChI=1S/C10H22O/c1-2-3-4-5-6-7-8-9-10-11/h11H,2-10H2,1H3",inactive
8175,compounds,"InChI=1S/C10H20O/c1-2-3-4-5-6-7-8-9-10-11/h10H,2-9H2,1H3",inactive
8177,compounds,"InChI=1S/C8H18O3/c1-2-3-5-10-7-8-11-6-4-9/h9H,2-8H2,1H3",inactive
8178,compounds,"InChI=1S/C7H16O4/c1-9-4-5-11-7-6-10-3-2-8/h8H,2-7H2,1H3",inactive
8179,compounds,"InChI=1S/C8H18O3/c1-3-9-5-7-11-8-6-10-4-2/h3-8H2,1-2H3",inactive
8180,compounds,"InChI=1S/C11H22O2/c1-2-3-4-5-6-7-8-9-10-11(12)13/h2-10H2,1H3,(H,12,13)",inactive
8181,compounds,"InChI=1S/C17H34O2/c1-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17(18)19-2/h3-16H2,1-2H3",inactive
8182,compounds,"InChI=1S/C12H26/c1-3-5-7-9-11-12-10-8-6-4-2/h3-12H2,1-2H3",inactive
